id,createdAt,updatedAt,taxon,estatus,id_valido,taxon_valido,referencia,categoria_agrobiodiversidad,es_parientesilvestre,es_domesticado,es_quelite,comentarios_revision,usuario
19318GIMNO,2023-02-20 05:00:20.835+00,2023-02-20 05:00:20.835+00,Pinus (Pinus) attenuata,Aceptado/Válido,19318GIMNO,Pinus (Pinus) (Trifoliae) (Australes) attenuata,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19319GIMNO,2023-02-20 05:00:20.908+00,2023-02-20 05:00:20.908+00,Pinus (Strobus) ayacahuite,Aceptado/Válido,19319GIMNO,Pinus (Strobus) (Quinquefoliae) (Strobus) ayacahuite,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19321GIMNO,2023-02-20 05:00:20.984+00,2023-02-20 05:00:20.984+00,Pinus (Pinus) caribaea,Aceptado/Válido,19321GIMNO,Pinus (Pinus) (Trifoliae) (Australes) caribaea,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19321PECES,2023-02-20 05:00:21.06+00,2023-02-20 05:00:21.06+00,Hippoglossina tetrophthalma,Aceptado/Válido,19321PECES,Hippoglossina tetrophthalma,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
19323GIMNO,2023-02-20 05:00:21.14+00,2023-02-20 05:00:21.14+00,Pinus (Strobus) cembroides,Aceptado/Válido,19323GIMNO,Pinus (Strobus) (Parrya) (Cembroides) cembroides,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19325GIMNO,2023-02-20 05:00:21.224+00,2023-02-20 05:00:21.224+00,Pinus (Pinus) contorta,Aceptado/Válido,19325GIMNO,Pinus (Pinus) (Trifoliae) (Contortae) contorta,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19325PECES,2023-02-20 05:00:21.31+00,2023-02-20 05:00:21.31+00,Istiompax indica,Aceptado/Válido,19325PECES,Istiompax indica,El taxón pertenece a la categoría de Consumo humano en el Catálogo de acuerdo a consulta en Enciclovida.,Agrobiodiversidad,f,,,,listado-admin
19327GIMNO,2023-02-20 05:00:21.38+00,2023-02-20 05:00:21.38+00,Pinus (Pinus) coulteri,Aceptado/Válido,19327GIMNO,Pinus (Pinus) (Trifoliae) (Ponderosae) coulteri,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19328GIMNO,2023-02-20 05:00:21.466+00,2023-02-20 05:00:21.466+00,Pinus (Strobus) culminicola,Aceptado/Válido,19328GIMNO,Pinus (Strobus) (Parrya) (Cembroides) culminicola,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19329GIMNO,2023-02-20 05:00:21.545+00,2023-02-20 05:00:21.545+00,Pinus (Pinus) devoniana,Aceptado/Válido,19329GIMNO,Pinus (Pinus) (Trifoliae) (Ponderosae) devoniana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19331GIMNO,2023-02-20 05:00:21.628+00,2023-02-20 05:00:21.628+00,Pinus (Pinus) douglasiana,Aceptado/Válido,19331GIMNO,Pinus (Pinus) (Trifoliae) (Ponderosae) douglasiana,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19332GIMNO,2023-02-20 05:00:21.708+00,2023-02-20 05:00:21.708+00,Pinus (Pinus) durangensis,Aceptado/Válido,19332GIMNO,Pinus (Pinus) (Trifoliae) (Ponderosae) durangensis,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19333GIMNO,2023-02-20 05:00:21.781+00,2023-02-20 05:00:21.781+00,Pinus (Pinus) engelmannii,Aceptado/Válido,19333GIMNO,Pinus (Pinus) (Trifoliae) (Ponderosae) engelmannii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19335GIMNO,2023-02-20 05:00:21.85+00,2023-02-20 05:00:21.85+00,Pinus (Strobus) flexilis,Aceptado/Válido,19335GIMNO,Pinus (Strobus) (Quinquefoliae) (Strobus) flexilis,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
19336GIMNO,2023-02-20 05:00:21.919+00,2023-02-20 05:00:21.919+00,Pinus (Pinus) greggii,Aceptado/Válido,19336GIMNO,Pinus (Pinus) (Trifoliae) (Australes) greggii,"Goettsch, Bárbara, Tania Urquiza-Haas, Patricia Koleff,, et al. 2021. “Extinction Risk of Mesoamerican Crop Wild Relatives.” PLANTS, PEOPLE, PLANET, September, ppp3.10225. https://doi.org/10.1002/ppp3.10225.",Agrobiodiversidad,t,,,,listado-admin
